,id,followed_by
760,916765909024419840,3
741,261382471,3
398,702832335083986945,3
265,1141517447150866432,3
735,885026911,3
526,1168376663446564867,3
82,1537090496442470400,3
803,931877488812273664,3
804,40889337,3
519,1215341323458437120,3
147,1921708988,3
704,978998036927041536,3
275,2763734578,3
809,1107627510009860097,3
775,3003861899,3
69,1265298365417500672,3
605,1205911795493482503,3
67,1472536903,3
607,3179226480,3
64,1363671340818038785,3
63,1394329107937304577,3
811,1063661304,3
423,3404851937,3
512,817115513792987137,3
284,46723485,3
377,1046030559938572289,3
399,1237550454994763778,3
781,41953780,3
581,949778128838316037,3
711,1355456156,3
240,1448075736989020161,3
425,321689029,3
788,321766258,3
789,2559576535,3
427,2535841197,3
544,1242129855195615232,3
787,1618513814,3
794,1071965278559461376,3
541,18083344,3
566,488829075,3
251,1444395330540343301,3
568,1146474489519022080,3
539,1286803192639086593,3
231,780790417021296641,3
430,319180417,3
713,275122175,3
573,1111099369103728642,3
99,1269795410941546496,3
135,2884198676,3
785,2436531429,3
95,1307448843726991363,3
783,2694225408,3
260,509132217,3
776,974105188805070850,3
60,1273411422941216776,3
721,1195368680055422976,3
468,21436663,3
9,1492960146791743489,3
360,337274760,3
302,2987349388,3
303,179535271,3
657,211380332,3
342,822976837064265728,3
305,1166006713167863809,3
637,1259295103509762049,3
39,1570218337149370370,3
654,1020646724,3
694,938823903727644674,3
485,1252661576265596929,3
319,1646293302,3
688,281285283,3
489,1097285966136520705,3
348,1212543969868926977,3
822,1007724932866936832,3
769,771434785084506112,3
46,1684833541,3
327,904328603374112768,3
52,764857465687056385,3
774,4193174898,3
372,1131579008,3
48,2292312448,3
336,272748932,3
479,943213599685623808,3
350,894376561729835008,3
471,1036317388973768704,3
502,1254416837384769539,3
164,1485762680459829249,3
745,305585460,3
482,1287505286354423811,3
